ID;Empty Spaces;Negative Space;Interesting Elements;Significant Jumps;Linearity;Leniency;Avg Enemy Comp;Density
15;0,91500676;0,12980479;0,13054681;0,6896552;0,5435976;0,81;0,24285714;0,42857143
150;0,91805065;0,12980479;0,13318412;0,62068963;0,41730726;0,86;0,32694808;0,35714287
151;0,89978707;0,15061899;0,1424147;0,79310346;0,28827146;0,72;0,52275133;0,39285713
152;0,9107452;0,13548139;0,14637068;0,7586207;0,48594332;0,93;0,4318182;0,41666666
153;0,8863937;0,16235061;0,14900798;0,82758623;0,3623984;0,78;0,3719577;0,5
154;0,90587497;0,15024054;0,13186547;0,6551724;0,42279813;0,81;0,4384615;0,3809524
155;0,8699565;0,17219004;0,13845874;0,7241379;0,23061717;0,74;0,53833336;0,61904764
156;0,91500676;0,13207543;0,13450277;0,7586207;0,5600703;0,83;0,3037415;0,4047619
157;0,87300044;0,15970153;0,145052;0,62068963;0,28003514;0,82;0,51153845;0,64285713
158;0,9010047;0,14191487;0,12922816;0,62068963;0,5655612;0,78;0,30227274;0,47619048
159;0,84864897;0,16045842;0,13714008;0,82758623;0,28003514;0,57;0,4724868;0,85714287
16;0,88152343;0,16121529;0,14373335;0,86206895;0,2772897;0,7;0,6036946;0,53571427
160;0,8900465;0,1536465;0,13582143;0,55172414;0,2772897;0,82;0,5480769;0,5119048
161;0,88152343;0,14153643;0,1542826;0,6551724;0,34043488;0,84;0,36396104;0,61904764
162;0,8809146;0,16272905;0,14768933;0,9310345;0,24159893;0,7;0,54285717;0,52380955
163;0,9040486;0,12261445;0,13582143;0,5862069;0,4090709;0,77;0,46142858;0,48809522
164;0,9284001;0,12942636;0,13054681;0,44827586;0,35690752;0,93;0,43571427;0,30952382
165;0,9077013;0,13434607;0,15164529;0,7586207;0,49417967;0,92;0,48385096;0,4047619
166;0,91013646;0,13548139;0,14768933;0,86206895;0,48594332;0,76;0,5058442;0,39285713
167;0,8876113;0,15024054;0,14637068;0,79310346;0,34043488;0,79;0,51028574;0,54761904
168;0,9022222;0,15743089;0,14900798;0,6896552;0,30199867;0,82;0,38626373;0,35714287
169;0,87847954;0,14569928;0,145052;0,7241379;0,35690752;0,74;0,38104394;0,5952381
17;0,8863937;0,14872679;0,1569199;0,7586207;0,3541621;0,86;0,38542855;0,53571427
170;0,8967432;0,14645615;0,145052;0,82758623;0,49417967;0,82;0,53742856;0,47619048
171;0,9010047;0,14569928;0,13845874;0,82758623;0,42279813;0,71;0,43971428;0,42857143
172;0,86873895;0,16840565;0,1569199;0,7586207;0,21688996;0,79;0,5971429;0,5833333
173;0,8851762;0,14153643;0,15560125;0,6896552;0,41730726;0,89;0,35828573;0,54761904
174;0,88943774;0,1468346;0,14373335;0,7586207;0,28003514;0,78;0,53763735;0,52380955
175;0,9174419;0,11163969;0,13054681;0,62068963;0,60948825;0,79;0,24598214;0,45238096
176;0,91135406;0,13472451;0,1279095;0,51724136;0,49967054;0,75;0,32959184;0,3809524
177;0,8888289;0,15818778;0,15560125;0,7241379;0,3678893;0,77;0,41304347;0,5
178;0,8961343;0,13699515;0,14109604;0,62068963;0,34043488;0,8;0,53695655;0,5
179;0,91135406;0,12639885;0,13054681;0,7241379;0,47496152;0,77;0,33605444;0,44047618
18;0,9003959;0,14040111;0,14373335;0,7586207;0,42279813;0,79;0,41360545;0,5
180;0,8955256;0,16954097;0,14637068;0,82758623;0,30474412;0,72;0,46456042;0,41666666
181;0,88395864;0,13813047;0,13977739;0,6896552;0,38985282;0,73;0,39421767;0,64285713
182;0,91135406;0,12866949;0,13845874;0,6896552;0,48319787;0,78;0,38571426;0,42857143
183;0,8900465;0,15024054;0,15032664;0,86206895;0,3431803;0,82;0,475;0,48809522
184;0,8821323;0,1642428;0,15032664;0,79310346;0,30474412;0,72;0,43971428;0,5595238
185;0,8711741;0,14796992;0,145052;0,8965517;0,48319787;0,78;0,38201058;0,6904762
186;0,9174419;0,14077955;0,13845874;0,86206895;0,5106523;0,81;0,43428573;0,30952382
187;0,8930904;0,16462125;0,1542826;0,9310345;0,3678893;0,62;0,42280218;0,4047619
188;0,9077013;0,13813047;0,14109604;0,7241379;0,28003514;0,87;0,571131;0,42857143
189;0,8870025;0,1555387;0,13845874;0,82758623;0,35965297;0,73;0,44107142;0,5119048
19;0,8967432;0,13585983;0,13845874;0,7586207;0,3623984;0,79;0,4467262;0,52380955
190;0,9046574;0,14872679;0,15164529;0,7241379;0,43377993;0,74;0,35403728;0,35714287
191;0,87239164;0,175596;0,13450277;0,7241379;0,24159893;0,81;0,547235;0,61904764
192;0,8979607;0,14759147;0,14109604;0,55172414;0,43377993;0,88;0,35059524;0,45238096
193;0,902831;0,1585662;0,13318412;0,7586207;0,35690752;0,81;0,46456042;0,42857143
194;0,8876113;0,15629557;0,13977739;0,7241379;0,4392708;0,81;0,55739796;0,5
195;0,91561556;0,13964424;0,12922816;0,6551724;0,36514384;0,75;0,5723603;0,3452381
196;0,897352;0,15743089;0,13318412;0,6551724;0,3761256;0,84;0,45934066;0,4642857
197;0,8906553;0,14796992;0,1279095;0,6896552;0,42279813;0,76;0,35059524;0,5714286
198;0,88395864;0,16462125;0,145052;0,7241379;0,3541621;0,79;0,42118227;0,48809522
